WeaponStar,Level,NeedExp,NeedStarLevel
5,1,0,0
5,2,100,0
5,3,200,0
5,4,300,0
5,5,400,0
5,6,500,0
5,7,600,0
5,8,700,0
5,9,800,0
5,10,900,0
5,11,1000,0
5,12,1100,0
5,13,1200,0
5,14,1300,0
5,15,1400,0
5,16,1500,0
5,17,1600,0
5,18,1700,0
5,19,1800,0
5,20,1900,0
5,21,2000,1
5,22,2100,1
5,23,2200,1
5,24,2300,1
5,25,2400,1
5,26,2500,1
5,27,2600,1
5,28,2700,1
5,29,2800,1
5,30,2900,1
5,31,3000,1
5,32,3100,1
5,33,3200,1
5,34,3300,1
5,35,3400,1
5,36,3500,1
5,37,3600,1
5,38,3700,1
5,39,3800,1
5,40,3900,1
5,41,4000,2
5,42,4100,2
5,43,4200,2
5,44,4300,2
5,45,4400,2
5,46,4500,2
5,47,4600,2
5,48,4700,2
5,49,4800,2
5,50,4900,2
5,51,5000,3
5,52,5100,3
5,53,5200,3
5,54,5300,3
5,55,5400,3
5,56,5500,3
5,57,5600,3
5,58,5700,3
5,59,5800,3
5,60,5900,3
5,61,6000,4
5,62,6100,4
5,63,6200,4
5,64,6300,4
5,65,6400,4
5,66,6500,4
5,67,6600,4
5,68,6700,4
5,69,6800,4
5,70,6900,4
5,71,7000,5
5,72,7100,5
5,73,7200,5
5,74,7300,5
5,75,7400,5
5,76,7500,5
5,77,7600,5
5,78,7700,5
5,79,7800,5
5,80,7900,5
5,81,8000,6
5,82,8100,6
5,83,8200,6
5,84,8300,6
5,85,8400,6
5,86,8500,6
5,87,8600,6
5,88,8700,6
5,89,8800,6
5,90,8900,6
4,1,0,0
4,2,100,0
4,3,200,0
4,4,300,0
4,5,400,0
4,6,500,0
4,7,600,0
4,8,700,0
4,9,800,0
4,10,900,0
4,11,1000,0
4,12,1100,0
4,13,1200,0
4,14,1300,0
4,15,1400,0
4,16,1500,0
4,17,1600,0
4,18,1700,0
4,19,1800,0
4,20,1900,0
4,21,2000,1
4,22,2100,1
4,23,2200,1
4,24,2300,1
4,25,2400,1
4,26,2500,1
4,27,2600,1
4,28,2700,1
4,29,2800,1
4,30,2900,1
4,31,3000,1
4,32,3100,1
4,33,3200,1
4,34,3300,1
4,35,3400,1
4,36,3500,1
4,37,3600,1
4,38,3700,1
4,39,3800,1
4,40,3900,1
4,41,4000,2
4,42,4100,2
4,43,4200,2
4,44,4300,2
4,45,4400,2
4,46,4500,2
4,47,4600,2
4,48,4700,2
4,49,4800,2
4,50,4900,2
4,51,5000,3
4,52,5100,3
4,53,5200,3
4,54,5300,3
4,55,5400,3
4,56,5500,3
4,57,5600,3
4,58,5700,3
4,59,5800,3
4,60,5900,3
4,61,6000,4
4,62,6100,4
4,63,6200,4
4,64,6300,4
4,65,6400,4
4,66,6500,4
4,67,6600,4
4,68,6700,4
4,69,6800,4
4,70,6900,4
4,71,7000,5
4,72,7100,5
4,73,7200,5
4,74,7300,5
4,75,7400,5
4,76,7500,5
4,77,7600,5
4,78,7700,5
4,79,7800,5
4,80,7900,5
4,81,8000,6
4,82,8100,6
4,83,8200,6
4,84,8300,6
4,85,8400,6
4,86,8500,6
4,87,8600,6
4,88,8700,6
4,89,8800,6
4,90,8900,6
3,1,0,0
3,2,100,0
3,3,200,0
3,4,300,0
3,5,400,0
3,6,500,0
3,7,600,0
3,8,700,0
3,9,800,0
3,10,900,0
3,11,1000,0
3,12,1100,0
3,13,1200,0
3,14,1300,0
3,15,1400,0
3,16,1500,0
3,17,1600,0
3,18,1700,0
3,19,1800,0
3,20,1900,0
3,21,2000,1
3,22,2100,1
3,23,2200,1
3,24,2300,1
3,25,2400,1
3,26,2500,1
3,27,2600,1
3,28,2700,1
3,29,2800,1
3,30,2900,1
3,31,3000,1
3,32,3100,1
3,33,3200,1
3,34,3300,1
3,35,3400,1
3,36,3500,1
3,37,3600,1
3,38,3700,1
3,39,3800,1
3,40,3900,1
3,41,4000,2
3,42,4100,2
3,43,4200,2
3,44,4300,2
3,45,4400,2
3,46,4500,2
3,47,4600,2
3,48,4700,2
3,49,4800,2
3,50,4900,2
3,51,5000,3
3,52,5100,3
3,53,5200,3
3,54,5300,3
3,55,5400,3
3,56,5500,3
3,57,5600,3
3,58,5700,3
3,59,5800,3
3,60,5900,3
3,61,6000,4
3,62,6100,4
3,63,6200,4
3,64,6300,4
3,65,6400,4
3,66,6500,4
3,67,6600,4
3,68,6700,4
3,69,6800,4
3,70,6900,4
3,71,7000,5
3,72,7100,5
3,73,7200,5
3,74,7300,5
3,75,7400,5
3,76,7500,5
3,77,7600,5
3,78,7700,5
3,79,7800,5
3,80,7900,5
3,81,8000,6
3,82,8100,6
3,83,8200,6
3,84,8300,6
3,85,8400,6
3,86,8500,6
3,87,8600,6
3,88,8700,6
3,89,8800,6
3,90,8900,6
